State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AK,99501,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99502,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99503,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99504,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99505,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99506,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99507,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99508,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99509,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99510,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99511,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99513,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99514,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99515,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99516,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99517,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99518,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99519,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99520,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99521,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99522,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99523,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99524,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99529,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99530,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0.000000,1
AK,99540,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,3
AK,99545,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99546,ADAK,0.000000,0.040000,0,0.040000,0,1
AK,99547,ATKA,0.000000,0.000000,0,0.000000,0,1
AK,99548,"LAKE AND PENINSULA BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99549,"PORT HEIDEN",0.000000,0.000000,0.000000,0.000000,0,1
AK,99550,"KODIAK ISLAND BOROUGH",0.000000,0.000000,0.000000,0.000000,0,1
AK,99551,ALASKA,0.000000,0.000000,0,0,0.000000,1
AK,99552,AKIAK,0.000000,0.000000,0,0.000000,0,1
AK,99553,AKUTAN,0.000000,0.000000,0.000000,0.000000,0,1
AK,99554,ALAKANUK,0.000000,0.040000,0,0.040000,0,1
AK,99555,ALEKNAGIK,0.000000,0.050000,0,0.050000,0,1
AK,99556,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,2
AK,99557,ANIAK,0.000000,0.020000,0,0.020000,0,3
AK,99558,ANVIK,0.000000,0.000000,0,0.000000,0,1
AK,99559,BETHEL,0.000000,0.060000,0,0.060000,0,4
AK,99561,CHEFORNAK,0.000000,0.020000,0,0.020000,0,1
AK,99563,CHEVAK,0.000000,0.030000,0,0.030000,0,1
AK,99564,CHIGNIK,0.000000,0.020000,0.000000,0.020000,0,1
AK,99565,KENAI,0.000000,0.060000,0.030000,0.030000,0,1
AK,99566,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99567,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
AK,99568,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99569,"CLARKS POINT",0.000000,0.060000,0,0.060000,0,1
AK,99571,"COLD BAY",0.000000,0.000000,0.000000,0.000000,0,1
AK,99572,"KENAI PENINSULA BURROUGH",0.000000,0.030000,0.030000,0,0,1
AK,99573,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99574,CORDOVA,0.000000,0.060000,0,0.060000,0,2
AK,99575,"ALASKA STATE",0.000000,0.000000,0,0,0,1
AK,99576,DILLINGHAM,0.000000,0.060000,0,0.060000,0,3
AK,99577,"ANCHORAGE BOROUGH",0.000000,0.000000,0.000000,0,0,1
